subject_id,synthetic_trial_id,class_label,array_index,output_file,generation_seed,checkpoint,checkpoint_sha256,checkpoint_epoch,source,intended_partition
1,S01_synthetic_00000,0,0,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00001,0,1,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00002,0,2,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00003,0,3,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00004,0,4,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00005,0,5,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00006,0,6,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00007,0,7,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00008,0,8,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00009,0,9,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00010,0,10,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00011,0,11,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00012,0,12,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00013,0,13,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00014,0,14,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00015,0,15,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00016,0,16,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00017,0,17,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00018,0,18,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00019,0,19,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00020,0,20,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
1,S01_synthetic_00021,0,21,subject_01.npz,1225165310,checkpoints/subject_01/best.pt,5881aadc8a9546b0658115e98640472816aac9bc5f8272e621082effc5a94417,96,synthetic,training
